State,LE,SE,Quartile
Nebraska,80.3,0.138,79.4 - 80.5
Iowa,80.4,0.103,79.4 - 80.5
Wisconsin,80.5,0.079,79.4 - 80.5
North Dakota,80.5,0.224,79.4 - 80.5
Colorado,80.6,0.08,80.6 - 83.1
Washington,80.8,0.067,80.6 - 83.1
Rhode Island,81,0.171,80.6 - 83.1
New Hampshire,81.1,0.155,80.6 - 83.1
Vermont,81.2,0.237,80.6 - 83.1
California,81.4,0.03,80.6 - 83.1
Minnesota,81.4,0.078,80.6 - 83.1
New Jersey,81.6,0.058,80.6 - 83.1
New York,81.6,0.04,80.6 - 83.1
Connecticut,82,0.097,80.6 - 83.1
Massachusetts,82.2,0.065,80.6 - 83.1
Hawaii,83.1,0.155,80.6 - 83.1
